id,area,sitename,desc,link,lat,lng,ebird_hotspot_id,youtube_id,accessibility,photos
1,Bremerton,Lion's Field Park,"Rocky marine habitat along the narrows • Both Pelagic and Double-crested Cormorants, as well as Long-tailed Ducks in the winter",,47.58403483,-122.6416013,L1915521,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/lions-field-park-1.jpg|data/img/lions-field-park-2.jpg|data/img/lions-field-park-3.jpg
2,Bremerton,Lower Roto Vista Park,"North end of Elizabeth Ave. • Rocky marine habitat • Large Pelagic Cormorant roost and Peregrine Falcon nest under Warren Ave. Bridge • Walkway down bluff to viewing area • Limited parking, no facilities, no handicapped access",,47.5780384,-122.6320364,L4243123,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/lower-roto-vista-1.jpg|data/img/lower-roto-vista-2.jpg|data/img/lower-roto-vista-3.jpg
3,Silverdale,Old Mill County Park,"Pebble beach and open bay; marine, estuarine and riparian habitats • Contiguous with the Clear Creek Trail system • Limited parking at park, none along trails • Purple martin nest box site",,47.64954479,-122.6879835,L1438853,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/old-mill-park-1.jpg|data/img/old-mill-park-2.jpg|data/img/old-mill-park-3.jpg
5,Hansville,Buck Lake County Park,"Aquatic and wooded habitats, open fields • Hooded Merganser and Pied-billed Grebe, warblers in migration • Extensive trail system called the Hansville Greenway",,47.91159071,-122.5602703,L840942,PLACEHOLDER_YOUTUBE_ID,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/buck-lake-1.jpg|data/img/buck-lake-2.jpg|data/img/buck-lake-3.jpg
6,Hansville,Point No Point County Park,"A designated IBA (Important Bird Area) • Extensive views of Admiralty Inlet • Marine, sandy beach, marsh, and wooded habitats • Best known for alcids, loons and cormorants, as well as large numbers of Bonaparte's and Heermann's gulls in the fall • Viewing platform, trails and beach access • Portable toilet, limited handicap access.",,47.91210847,-122.5270136,L109542,O1vfBAkvkXY,"Parking: PLACEHOLDER | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: PLACEHOLDER | Dogs Allowed: PLACEHOLDER",data/img/point-no-point-1.jpg|data/img/point-no-point-2.jpg|data/img/point-no-point-3.jpg
